Event,Fighter 1,KD F_1,Sig. str. landed F_1,Sig. str. thrown F_1,Sig. str. % F_1,Total str. landed F_1,Total str. thrown F_1,Td completed F_1,Td attempted F_1,Td % F_1,Sub. att F_1,Rev. F_1,Ctrl F_1,Head landed F_1,Head thrown F_1,Body landed F_1,Body thrown F_1,Leg landed F_1,Leg thrown F_1,Distance landed F_1,Distance thrown F_1,Clinch landed F_1,Clinch thrown F_1,Ground landed F_1,Ground thrown F_1,Fighter 2,KD F_2,Sig. str. landed F_2,Sig. str. thrown F_2,Sig. str. % F_2,Total str. landed F_2,Total str. thrown F_2,Td completed F_2,Td attempted F_2,Td % F_2,Sub. att F_2,Rev. F_2,Ctrl F_2,Head landed F_2,Head thrown F_2,Body landed F_2,Body thrown F_2,Leg landed F_2,Leg thrown F_2,Distance landed F_2,Distance thrown F_2,Clinch landed F_2,Clinch thrown F_2,Ground landed F_2,Ground thrown F_2
UFC 186: Johnson vs Horiguchi,Demetrious Johnson,0,66,121,0.54,149,208,14,22,0.63,1,0,823.0,21,56,31,40,14,25,39,86,16,23,11,12,Kyoji Horiguchi,0,31,91,0.34,61,127,1,5,0.2,0,0,62.0,18,70,8,13,5,8,21,75,10,16,0,0
UFC Fight Night: Alvarez vs. Poirier 2,Alexis Davis,0,70,201,0.34,77,208,1,2,0.5,0,0,19.0,24,141,10,17,36,43,66,196,4,5,0,0,Katlyn Chookagian,0,62,202,0.3,62,202,0,0,,0,0,0.0,50,188,9,11,3,3,61,201,1,1,0,0
UFC Fight Night: Chiesa vs. Lee,Josh Stansbury,0,4,12,0.33,5,13,0,1,0.0,0,0,23.0,1,8,1,2,2,2,4,12,0,0,0,0,Jeremy Kimball,1,17,25,0.68,21,29,0,0,,0,0,8.0,13,21,1,1,3,3,8,9,1,3,8,13
UFC 105: Couture vs Vera,Terry Etim,0,17,57,0.29,17,57,0,0,,1,0,38.0,5,43,0,0,12,14,15,55,2,2,0,0,Shannon Gugerty,0,11,41,0.26,17,48,1,2,0.5,0,0,51.0,4,30,1,2,6,9,10,40,0,0,1,1
UFC Fight Night: Jacare vs. Brunson 2,Erik Koch,0,56,146,0.38,60,150,1,1,1.0,0,1,116.0,45,129,7,10,4,7,45,129,3,6,8,11,Bobby Green,0,110,194,0.56,134,220,1,5,0.2,0,1,197.0,48,116,43,56,19,22,55,128,37,42,18,24
The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale,John Moraga,0,31,113,0.27,33,115,0,2,0.0,0,0,0.0,19,95,2,6,10,12,31,113,0,0,0,0,Matheus Nicolau,0,41,85,0.48,53,98,0,1,0.0,0,0,43.0,13,46,12,21,16,18,41,85,0,0,0,0
UFC 232: Jones vs. Gustafsson 2,Ilir Latifi,0,33,78,0.42,34,79,0,4,0.0,0,0,46.0,23,66,3,5,7,7,23,62,10,16,0,0,Corey Anderson,0,40,121,0.33,45,127,0,4,0.0,0,0,23.0,24,93,11,22,5,6,38,114,2,7,0,0
UFC 137: Penn vs Diaz,Cheick Kongo,0,44,126,0.34,70,159,2,2,1.0,0,0,330.0,23,90,7,13,14,23,26,104,6,8,12,14,Matt Mitrione,0,21,55,0.38,22,58,0,0,,0,0,2.0,15,46,2,5,4,4,20,54,1,1,0,0
UFC 92: The Ultimate 2008,Matt Hamill,0,40,115,0.34,63,141,1,1,1.0,0,0,25.0,34,107,5,6,1,2,28,99,4,5,8,11,Reese Andy,0,34,73,0.46,38,77,0,0,,0,0,0.0,20,54,3,5,11,14,28,60,6,13,0,0
UFC 30: Battle on the Boardwalk,Sean Sherk,0,12,16,0.75,134,146,4,5,0.8,0,0,555.0,11,15,0,0,1,1,1,3,1,1,10,12,Tiki Ghosn,0,1,7,0.14,10,16,0,0,,0,0,0.0,0,5,0,0,1,2,1,6,0,1,0,0
UFC Fight Night: McGregor vs Siver,Donald Cerrone,0,57,125,0.45,58,126,1,7,0.14,0,0,32.0,19,76,20,28,18,21,53,119,4,6,0,0,Benson Henderson,0,86,155,0.55,93,162,0,1,0.0,0,0,0.0,13,71,20,29,53,55,84,151,2,4,0,0
UFC 46: Supernatural,Matt Serra,0,45,80,0.56,118,159,6,10,0.6,0,1,790.0,26,61,15,15,4,4,2,11,11,11,32,58,Jeff Curran,0,9,15,0.6,19,25,0,2,0.0,1,2,20.0,5,11,3,3,1,1,4,9,3,4,2,2
UFC Fight Night: Lewis vs. Abdurakhimov,Randy Brown,1,42,82,0.51,50,90,1,1,1.0,0,0,236.0,30,68,6,8,6,6,17,51,11,11,14,20,Brian Camozzi,0,11,35,0.31,13,37,0,3,0.0,1,0,30.0,3,24,0,0,8,11,10,31,0,3,1,1
UFC Fight Night: Condit vs Kampmann 2,Court McGee,0,88,305,0.28,99,318,1,8,0.12,0,0,34.0,41,213,28,63,19,29,84,296,4,9,0,0,Robert Whittaker,0,48,184,0.26,49,185,0,0,,0,0,0.0,48,181,0,3,0,0,47,181,1,3,0,0
UFC Fight Night: Whittaker vs. Till,Tom Aspinall,1,10,10,1.0,10,10,0,0,,0,0,2.0,7,7,1,1,2,2,9,9,0,0,1,1,Jake Collier,0,3,9,0.33,3,9,0,0,,0,0,0.0,1,7,0,0,2,2,3,9,0,0,0,0
UFC 64: Unstoppable,Kurt Pellegrino,0,5,9,0.55,30,37,1,1,1.0,1,0,114.0,5,9,0,0,0,0,0,0,0,0,5,9,Junior Assuncao,0,1,6,0.16,3,10,0,0,,0,0,0.0,1,6,0,0,0,0,1,6,0,0,0,0
UFC 85: Bedlam,Thales Leites,1,13,45,0.28,33,66,0,1,0.0,2,0,113.0,12,41,1,4,0,0,8,35,1,3,4,7,Nate Marquardt,0,35,72,0.48,49,88,5,7,0.71,0,0,424.0,23,55,8,13,4,4,11,39,8,10,16,23
UFC 68: The Uprising,Jamie Varner,0,7,13,0.53,10,16,1,1,1.0,2,0,80.0,6,12,0,0,1,1,1,1,0,0,6,12,Jason Gilliam,0,0,2,0.0,1,3,0,0,,0,0,0.0,0,2,0,0,0,0,0,1,0,1,0,0
UFC 224: Nunes vs. Pennington,Cezar Ferreira,0,5,6,0.83,14,16,2,3,0.66,1,0,260.0,4,5,1,1,0,0,1,1,0,0,4,5,Karl Roberson,0,4,6,0.66,20,26,0,0,,0,0,0.0,3,5,0,0,1,1,1,3,2,2,1,1
UFC 228: Woodley vs. Till,Jimmie Rivera,0,62,125,0.49,63,126,0,3,0.0,0,0,4.0,25,79,16,21,21,25,60,121,2,4,0,0,John Dodson,0,41,117,0.35,41,117,0,1,0.0,0,0,2.0,21,95,15,17,5,5,34,109,7,8,0,0
The Ultimate Fighter: Undefeated Finale,Gerald Meerschaert,0,51,104,0.49,98,159,3,4,0.75,2,1,150.0,43,95,6,7,2,2,9,43,20,28,22,33,Oskar Piechota,1,23,53,0.43,31,63,1,1,1.0,2,0,201.0,17,46,3,4,3,3,18,42,3,7,2,4
UFC Fight Night: Blachowicz vs. Jacare,Ricardo Ramos,0,10,34,0.29,12,36,2,3,0.66,1,0,66.0,3,23,3,4,4,7,9,33,0,0,1,1,Eduardo Garagorri,0,6,16,0.37,6,16,0,0,,0,0,3.0,3,11,3,4,0,1,6,16,0,0,0,0
UFC 40: Vendetta,Andrei Arlovski,1,14,26,0.53,14,26,0,0,,0,0,3.0,7,19,0,0,7,7,10,22,4,4,0,0,Ian Freeman,0,1,11,0.09,1,11,0,0,,0,0,0.0,0,10,0,0,1,1,1,10,0,1,0,0
UFC Fight Night: Maia vs LaFlare,Gilbert Burns,0,17,44,0.38,37,69,2,5,0.4,2,0,241.0,8,32,5,6,4,6,10,37,3,3,4,4,Alex Oliveira,0,29,76,0.38,31,80,0,0,,0,0,201.0,22,67,3,4,4,5,26,70,3,6,0,0
UFC 96: Jackson vs Jardine,Jason Brilz,0,34,103,0.33,107,183,4,8,0.5,1,0,478.0,16,80,7,9,11,14,9,66,16,21,9,16,Tim Boetsch,0,27,65,0.41,31,70,0,0,,0,0,2.0,22,60,3,3,2,2,21,58,6,7,0,0
UFC Fight Night: Nelson vs Story,Gunnar Nelson,0,53,107,0.49,54,108,1,4,0.25,0,0,21.0,39,87,12,16,2,4,49,103,4,4,0,0,Rick Story,1,168,315,0.53,211,360,1,1,1.0,0,0,36.0,81,211,58,73,29,31,137,270,24,33,7,12
UFC 222: Cyborg vs. Kunitskaya,CB Dollaway,0,13,19,0.68,13,19,0,0,,0,0,0.0,4,7,8,11,1,1,12,18,1,1,0,0,Hector Lombard,1,19,33,0.57,19,33,0,0,,0,0,0.0,8,18,2,4,9,11,18,32,1,1,0,0
UFC Fight Night: Moicano vs. The Korean Zombie,Dan Ige,1,71,125,0.56,92,146,1,4,0.25,0,0,247.0,52,102,12,16,7,7,44,89,6,9,21,27,Kevin Aguilar,0,33,104,0.31,65,136,1,1,1.0,0,1,139.0,21,83,10,18,2,3,21,87,5,6,7,11
UFC Fight Night 2,Chris Leben,0,5,7,0.71,19,21,0,0,,1,0,112.0,3,5,2,2,0,0,1,1,1,2,3,4,Edwin DeWees,0,5,7,0.71,13,15,1,1,1.0,2,0,67.0,1,2,2,3,2,2,3,3,2,4,0,0
UFC 124: St-Pierre vs Koscheck 2,TJ Grant,0,6,18,0.33,20,33,0,1,0.0,0,1,52.0,2,14,1,1,3,3,3,9,1,5,2,4,Ricardo Almeida,0,48,85,0.56,93,136,6,8,0.75,0,0,739.0,41,78,5,5,2,2,8,15,1,2,39,68
UFC 74: Respect,Georges St-Pierre,0,38,61,0.62,118,145,2,2,1.0,5,0,558.0,17,37,3,3,18,21,24,39,0,0,14,22,Josh Koscheck,0,4,41,0.09,14,53,1,4,0.25,0,0,87.0,4,40,0,0,0,1,2,38,0,0,2,3
UFC 252: Miocic vs. Cormier 3,Felice Herrig,0,1,1,1.0,3,3,0,0,,0,0,0.0,0,0,0,0,1,1,1,1,0,0,0,0,Virna Jandiroba,0,4,5,0.8,12,15,1,1,1.0,2,0,93.0,4,5,0,0,0,0,0,0,0,0,4,5
UFC Fight Night: Stout vs Fisher,Nate Mohr,0,70,185,0.37,71,187,0,0,,0,0,0.0,60,172,3,6,7,7,66,179,4,6,0,0,Luke Caudillo,1,28,128,0.21,28,128,0,1,0.0,0,0,1.0,19,114,5,9,4,5,27,124,1,4,0,0
UFC on FX: Belfort vs. Rockhold,Jacare Souza,0,8,16,0.5,12,21,1,3,0.33,1,1,158.0,8,14,0,2,0,0,2,6,0,1,6,9,Chris Camozzi,0,4,14,0.28,10,21,0,0,,0,0,9.0,3,13,0,0,1,1,3,10,1,4,0,0
UFC 228: Woodley vs. Till,Zabit Magomedsharipov,0,38,53,0.71,47,62,6,7,0.85,1,0,240.0,26,40,4,4,8,9,25,37,5,7,8,9,Brandon Davis,0,27,69,0.39,29,71,0,0,,0,0,0.0,8,37,7,15,12,17,24,66,3,3,0,0
UFC 252: Miocic vs. Cormier 3,Junior Dos Santos,0,24,44,0.54,24,44,0,0,,0,0,0.0,6,22,13,15,5,7,24,44,0,0,0,0,Jairzinho Rozenstruik,1,42,66,0.63,42,66,0,0,,0,0,9.0,21,41,1,2,20,23,30,49,0,0,12,17
UFC 87: Seek And Destroy,Tamdan McCrory,0,26,44,0.59,44,64,4,7,0.57,7,1,617.0,22,39,4,5,0,0,2,9,8,11,16,24,Luke Cummo,0,11,25,0.44,42,61,1,2,0.5,1,0,133.0,2,11,6,11,3,3,4,13,5,8,2,4
UFC 178: Johnson vs Cariaso,Dustin Poirier,0,10,19,0.52,10,19,0,0,,0,0,0.0,3,11,0,0,7,8,10,19,0,0,0,0,Conor McGregor,1,9,29,0.31,9,29,0,0,,0,0,3.0,8,25,1,4,0,0,5,25,0,0,4,4
UFC 92: The Ultimate 2008,Frank Mir,3,37,101,0.36,40,106,1,1,1.0,0,0,41.0,30,91,2,3,5,7,25,79,2,3,10,19,Antonio Rodrigo Nogueira,0,10,38,0.26,15,43,0,0,,0,0,0.0,8,35,0,1,2,2,9,35,0,1,1,2
UFC Fight Night: Dern vs. Rodriguez,Tim Elliott,0,70,215,0.32,105,255,1,10,0.1,0,0,148.0,39,160,11,28,20,27,62,207,7,7,1,1,Matheus Nicolau,0,64,109,0.58,128,176,1,1,1.0,0,0,128.0,28,63,31,38,5,8,64,107,0,1,0,1
UFC Fight Night: Rodriguez vs. Waterson,Diego Ferreira,0,31,60,0.51,37,70,0,2,0.0,0,2,66.0,31,60,0,0,0,0,10,39,3,3,18,18,Gregor Gillespie,0,45,62,0.72,53,70,4,8,0.5,0,0,310.0,37,52,7,9,1,1,9,17,6,8,30,37
UFC 137: Penn vs Diaz,Brandon Vera,0,33,65,0.5,55,88,1,2,0.5,0,0,430.0,8,26,6,11,19,28,18,44,9,11,6,10,Eliot Marshall,1,21,55,0.38,79,115,1,3,0.33,2,0,130.0,13,44,8,9,0,2,8,32,9,14,4,9
The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,Johnny Bedford,2,34,60,0.56,45,72,1,1,1.0,0,0,197.0,27,48,4,7,3,5,16,36,3,5,15,19,Marcos Vinicius,0,4,15,0.26,5,16,0,0,,1,0,0.0,2,7,0,6,2,2,3,14,1,1,0,0
UFC Fight Night 2,Jon Fitch,0,25,49,0.51,146,170,5,7,0.71,2,0,609.0,19,42,4,4,2,3,5,13,4,7,16,29,Brock Larson,0,14,20,0.7,19,25,1,4,0.25,3,0,176.0,1,6,2,2,11,12,1,6,13,14,0,0
UFC Fight Night: Overeem vs. Sakai,Ovince Saint Preux,1,33,80,0.41,33,80,0,0,,0,0,3.0,12,44,17,31,4,5,33,80,0,0,0,0,Alonzo Menifield,0,19,40,0.47,21,43,0,2,0.0,0,0,36.0,12,31,3,5,4,4,17,38,2,2,0,0
UFC Fight Night: Costa vs. Vettori,Tabatha Ricci,0,62,135,0.45,103,187,5,11,0.45,0,0,398.0,42,109,12,16,8,10,29,98,5,5,28,32,Maria Oliveira,0,66,178,0.37,90,207,0,0,,0,0,1.0,34,128,18,33,14,17,61,172,4,4,1,2
UFC Fight Night: Waterson vs. Hill,Bobby Green,0,61,95,0.64,109,149,4,6,0.66,0,0,451.0,41,74,18,19,2,2,35,63,17,18,9,14,Alan Patrick,0,19,69,0.27,38,89,1,6,0.16,0,0,103.0,8,50,7,15,4,4,18,68,0,0,1,1
UFC 221: Romero vs. Rockhold,Ross Pearson,0,58,176,0.32,59,177,0,0,,0,0,0.0,31,134,16,30,11,12,57,174,1,2,0,0,Mizuto Hirota,0,77,213,0.36,77,213,0,1,0.0,0,0,6.0,49,176,3,10,25,27,73,208,4,5,0,0
UFC 13: The Ultimate Force,Randy Couture,0,16,19,0.84,25,28,1,1,1.0,0,0,,15,18,1,1,0,0,0,0,0,0,16,19,Steven Graham,0,0,0,,1,1,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
UFC Fight Night: Machida vs. Anders,Valentina Shevchenko,0,95,113,0.84,230,254,2,2,1.0,2,0,512.0,87,103,8,9,0,1,11,20,0,0,84,93,Priscila Cachoeira,0,2,12,0.16,3,13,0,0,,0,0,0.0,2,12,0,0,0,0,2,12,0,0,0,0
UFC 213: Romero vs. Whittaker,Yoel Romero,0,48,107,0.44,114,175,4,18,0.22,0,0,315.0,20,68,12,18,16,21,41,100,3,3,4,4,Robert Whittaker,0,74,221,0.33,94,244,0,0,,0,0,94.0,46,163,23,52,5,6,59,195,7,12,8,14
UFC on FOX: Dos Anjos vs. Cowboy 2,Josh Samman,0,10,19,0.52,53,70,2,4,0.5,0,1,380.0,6,15,3,3,1,1,1,7,0,0,9,12,Tamdan McCrory,0,39,53,0.73,80,97,2,4,0.5,1,1,438.0,36,49,3,4,0,0,2,3,3,4,34,46
UFC Fight Night: Cejudo vs. Dillashaw,Greg Hardy,0,29,64,0.45,35,70,0,0,,0,0,76.0,21,56,5,5,3,3,17,51,6,7,6,6,Allen Crowder,0,12,30,0.4,16,34,1,3,0.33,1,0,142.0,12,30,0,0,0,0,8,25,1,2,3,3
UFC Fight Night: Jedrzejczyk vs Penne,Makwan Amirkhani,0,0,0,,0,0,1,1,1.0,2,0,79.0,0,0,0,0,0,0,0,0,0,0,0,0,Masio Fullen,0,1,1,1.0,1,1,0,0,,0,0,0.0,0,0,1,1,0,0,1,1,0,0,0,0
UFC Fight Night: Felder vs. Dos Anjos,Ashley Yoder,0,26,42,0.61,151,184,2,4,0.5,3,0,499.0,14,29,5,5,7,8,12,25,3,3,11,14,Miranda Granger,0,33,51,0.64,87,107,0,0,,0,1,196.0,19,36,9,10,5,5,15,32,14,15,4,4
UFC 144: Edgar vs Henderson,Yoshihiro Akiyama,0,33,97,0.34,52,118,2,4,0.5,0,0,68.0,29,92,2,3,2,2,28,90,5,7,0,0,Jake Shields,0,91,201,0.45,119,232,2,14,0.14,0,0,223.0,49,142,24,32,18,27,79,177,11,23,1,1
UFC Fight Night: Maia vs LaFlare,Leandro Silva,0,25,48,0.52,28,52,2,4,0.5,1,0,96.0,11,31,9,9,5,8,22,43,3,5,0,0,Drew Dober,0,22,72,0.3,26,77,0,0,,0,0,69.0,14,55,2,4,6,13,15,56,7,16,0,0
UFC Fight Night: Sandhagen vs. Dillashaw,Cory Sandhagen,0,128,281,0.45,171,331,0,1,0.0,1,0,0.0,110,258,10,14,8,9,126,278,2,2,0,1,TJ Dillashaw,0,110,268,0.41,169,332,2,19,0.1,0,0,502.0,59,208,10,14,41,46,98,245,8,14,4,9
UFC 217: Bisping vs. St-Pierre,James Vick,1,42,137,0.3,43,138,0,0,,0,0,4.0,27,107,10,21,5,9,34,126,4,4,4,7,Joe Duffy,0,25,66,0.37,26,67,2,2,1.0,0,0,30.0,9,42,7,14,9,10,24,64,1,2,0,0
UFC Fight Night: Edgar vs. The Korean Zombie,Da-Un Jung,1,5,10,0.5,5,10,0,0,,0,0,2.0,5,10,0,0,0,0,1,6,0,0,4,4,Mike Rodriguez,0,4,8,0.5,4,8,0,0,,0,0,0.0,0,1,2,2,2,5,4,8,0,0,0,0
UFC on FOX: Shevchenko vs. Pena,Donald Cerrone,0,30,65,0.46,30,65,0,1,0.0,0,0,0.0,10,43,7,7,13,15,30,65,0,0,0,0,Jorge Masvidal,2,58,102,0.56,58,102,0,0,,0,0,6.0,36,71,17,25,5,6,43,82,9,11,6,9
The Ultimate Fighter: A Champion Will Be Crowned Finale,Jeremy Stephens,0,48,79,0.6,55,88,0,0,,0,0,379.0,34,59,8,11,6,9,25,47,6,6,17,26,Charles Oliveira,0,43,67,0.64,74,100,2,7,0.28,3,0,322.0,25,46,12,15,6,6,20,39,15,17,8,11
UFC on FX: Belfort vs. Rockhold,Gleison Tibau,0,21,67,0.31,23,69,2,4,0.5,1,0,87.0,15,59,5,7,1,1,14,59,6,7,1,1,John Cholish,0,9,26,0.34,9,26,0,1,0.0,0,0,7.0,2,15,3,6,4,5,9,23,0,3,0,0
UFC Fight Night: Fight for the Troops 3,Chris Camozzi,0,64,147,0.43,81,164,0,0,,0,0,107.0,20,82,11,18,33,47,58,140,6,7,0,0,Lorenz Larkin,0,46,121,0.38,62,137,0,0,,0,0,63.0,20,80,8,21,18,20,29,102,16,18,1,1
UFC Fight Night: Dos Anjos vs. Edwards,Rafael Dos Anjos,0,81,169,0.47,129,219,0,5,0.0,0,0,143.0,41,115,17,25,23,29,81,168,0,1,0,0,Leon Edwards,0,92,215,0.42,113,244,3,10,0.3,0,0,437.0,72,189,14,20,6,6,77,195,12,14,3,6
UFC 260: Miocic vs. Ngannou,Marc-Andre Barriault,1,141,275,0.51,190,339,0,1,0.0,0,0,360.0,126,257,9,11,6,7,83,192,15,22,43,61,Abu Azaitar,0,108,219,0.49,142,261,0,3,0.0,0,0,123.0,45,138,48,65,15,16,82,186,26,33,0,0
UFC 69: Shootout,Josh Koscheck,0,30,116,0.25,33,119,1,1,1.0,0,0,14.0,23,107,3,5,4,4,30,116,0,0,0,0,Diego Sanchez,0,12,116,0.1,12,116,0,0,,0,1,6.0,6,108,0,2,6,6,12,116,0,0,0,0
UFC 247: Jones vs. Reyes,Valentina Shevchenko,0,40,65,0.61,57,82,3,3,1.0,0,0,212.0,26,48,3,4,11,13,23,48,0,0,17,17,Katlyn Chookagian,0,17,56,0.3,27,68,0,0,,0,0,0.0,0,28,5,9,12,19,17,56,0,0,0,0
UFC Fight Night: Gaethje vs. Vick,Cory Sandhagen,0,66,113,0.58,104,159,0,0,,0,0,251.0,65,112,0,0,1,1,6,8,0,1,60,104,Iuri Alcantara,0,9,24,0.37,13,29,1,1,1.0,2,0,73.0,9,24,0,0,0,0,1,12,1,3,7,9
UFC 166: Velasquez vs Dos Santos 3,Daniel Cormier,0,74,148,0.5,83,157,3,5,0.6,0,0,232.0,50,121,13,15,11,12,59,129,12,15,3,4,Roy Nelson,0,17,82,0.2,26,91,0,0,,0,0,1.0,11,72,1,4,5,6,16,78,1,4,0,0
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Angela Magana,0,8,24,0.33,19,36,1,1,1.0,1,0,475.0,3,17,2,4,3,3,6,21,2,3,0,0,Michelle Waterson,0,47,60,0.78,102,120,3,3,1.0,4,0,117.0,25,37,15,16,7,7,25,33,9,9,13,18
UFC 44: Undisputed,Josh Thomson,1,11,18,0.61,19,26,1,1,1.0,0,0,147.0,10,17,1,1,0,0,1,2,0,0,10,16,Gerald Strebendt,0,0,0,,0,0,0,0,,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
UFC Fight Night: Reyes vs. Prochazka,Ion Cutelaba,0,71,152,0.46,111,201,9,19,0.47,0,0,267.0,62,139,5,9,4,4,44,123,8,8,19,21,Dustin Jacoby,0,84,148,0.56,100,164,1,3,0.33,0,0,92.0,67,130,8,9,9,9,80,142,3,5,1,1
UFC on FOX: Henderson vs Diaz,Benson Henderson,1,124,198,0.62,183,259,8,12,0.66,0,0,1020.0,63,126,29,33,32,39,26,51,31,37,67,110,Nate Diaz,0,30,83,0.36,95,160,0,6,0.0,2,0,44.0,8,55,12,18,10,10,5,52,25,31,0,0
UFC on FOX: Henderson vs Thomson,George Sullivan,0,61,177,0.34,81,200,2,14,0.14,0,0,101.0,29,128,10,20,22,29,53,165,8,11,0,1,Mike Rhodes,0,51,105,0.48,57,112,2,4,0.5,1,0,152.0,26,71,9,18,16,16,46,95,5,10,0,0
The Ultimate Fighter: Live Finale,Myles Jury,0,12,49,0.24,12,49,0,0,,1,0,0.0,5,30,2,5,5,14,12,49,0,0,0,0,Chris Saunders,0,6,27,0.22,6,27,1,1,1.0,0,0,36.0,1,14,0,1,5,12,6,27,0,0,0,0
UFC Fight Night: Te Huna vs Marquardt,Richie Vaculik,0,27,50,0.54,55,82,4,15,0.26,2,1,427.0,12,32,9,9,6,9,16,38,9,10,2,2,Roldan Sangcha'an,0,36,81,0.44,40,85,1,2,0.5,0,1,53.0,15,56,4,6,17,19,33,76,3,5,0,0
UFC Fight Night: Iaquinta vs. Cowboy,Kyle Nelson,0,26,93,0.27,32,103,2,10,0.2,4,0,227.0,18,82,8,11,0,0,24,86,2,7,0,0,Matt Sayles,0,75,147,0.51,106,181,0,0,,1,1,167.0,45,113,15,18,15,16,48,105,3,5,24,37
UFC on FOX: Shogun vs Vera,Joe Lauzon,0,44,118,0.37,55,130,2,5,0.4,1,2,131.0,42,115,1,2,1,1,35,108,1,2,8,8,Jamie Varner,1,82,177,0.46,84,181,2,4,0.5,1,2,101.0,53,141,26,31,3,5,78,172,2,3,2,2
UFC Fight Night: Machida vs Munoz,Alessio Sakara,0,20,27,0.74,28,35,1,1,1.0,0,0,47.0,17,24,3,3,0,0,9,13,4,4,7,10,Nicholas Musoke,0,12,24,0.5,21,35,1,1,1.0,1,0,107.0,9,21,1,1,2,2,6,16,5,7,1,1
UFC Fight Night: Edgar vs Swanson,Brad Pickett,0,53,158,0.33,72,179,2,9,0.22,0,0,175.0,32,129,5,12,16,17,42,137,4,9,7,12,Chico Camus,0,71,149,0.47,94,172,1,2,0.5,0,0,4.0,65,139,5,9,1,1,62,139,5,6,4,4
UFC 16: Battle in the Bayou,Jerry Bohlander,0,5,17,0.29,9,21,0,2,0.0,2,0,,2,14,0,0,3,3,4,16,0,0,1,1,Kevin Jackson,0,18,25,0.72,35,44,2,2,1.0,0,0,,13,20,4,4,1,1,5,9,0,0,13,16
UFC on FX: Belfort vs. Rockhold,John Lineker,3,36,80,0.45,46,92,0,0,,0,0,106.0,21,60,14,17,1,3,21,51,4,5,11,24,Azamat Gashimov,0,7,38,0.18,8,39,0,3,0.0,0,0,1.0,5,33,1,4,1,1,5,35,0,1,2,2
UFC Fight Night: Emmett vs. Stephens,Ovince Saint Preux,0,7,24,0.29,7,24,0,0,,0,0,0.0,2,18,2,3,3,3,7,24,0,0,0,0,Ilir Latifi,1,25,41,0.6,27,43,0,0,,1,0,20.0,11,25,5,6,9,10,19,34,1,1,5,6
UFC Fight Night: Smith vs. Clark,Luke Sanders,0,55,112,0.49,63,120,0,1,0.0,0,0,40.0,40,90,7,9,8,13,47,102,8,10,0,0,Nate Maness,1,33,70,0.47,38,75,1,2,0.5,1,0,30.0,27,62,4,6,2,2,28,62,3,5,2,3
UFC 93: Franklin vs Henderson,Tomasz Drwal,0,14,22,0.63,16,24,1,1,1.0,0,0,38.0,11,19,1,1,2,2,5,8,2,5,7,9,Ivan Serati,0,3,11,0.27,4,13,0,2,0.0,0,0,0.0,2,10,0,0,1,1,1,4,2,7,0,0
UFC Fight Night: Nelson vs Story,Zubaira Tukhugov,0,40,67,0.59,43,70,0,0,,0,0,7.0,34,60,5,6,1,1,27,52,8,9,5,6,Ernest Chavez,0,12,30,0.4,12,30,0,0,,0,0,0.0,9,24,0,1,3,5,12,30,0,0,0,0
UFC Fight Night: Teixeira vs Bader,Lucas Martins,1,10,20,0.5,10,20,0,0,,1,0,26.0,6,16,1,1,3,3,9,18,0,0,1,2,Ramiro Hernandez,0,4,10,0.4,6,13,0,0,,0,0,0.0,2,7,1,2,1,1,4,10,0,0,0,0
UFC Fight Night: Dos Anjos vs. Edwards,Raquel Pennington,0,47,137,0.34,86,181,1,6,0.16,0,0,328.0,29,108,9,20,9,9,41,130,2,3,4,4,Irene Aldana,0,52,184,0.28,75,208,0,0,,0,0,2.0,32,139,10,27,10,18,46,177,6,7,0,0
UFC 194: Aldo vs McGregor,Tecia Torres,0,77,133,0.57,126,192,0,4,0.0,0,0,335.0,67,116,7,14,3,3,55,102,13,20,9,11,Jocelyn Jones-Lybarger,0,29,106,0.27,53,137,0,2,0.0,0,0,141.0,15,87,10,15,4,4,23,97,3,6,3,3
UFC Fight Night: Belfort vs Henderson 2,Thiago Tavares,0,7,11,0.63,20,24,1,1,1.0,1,0,78.0,4,8,3,3,0,0,5,9,1,1,1,1,Justin Salas,0,4,17,0.23,14,27,0,0,,0,0,17.0,3,12,0,1,1,4,1,11,0,1,3,5
UFC 253: Adesanya vs. Costa,Israel Adesanya,1,55,84,0.65,55,84,0,0,,0,0,9.0,24,51,5,6,26,27,45,71,2,3,8,10,Paulo Costa,0,12,26,0.46,12,26,0,0,,0,0,1.0,2,13,7,8,3,5,12,26,0,0,0,0
UFC Fight Night: Emmett vs. Stephens,Ben Saunders,0,33,79,0.41,34,80,0,0,,0,0,3.0,21,60,8,14,4,5,25,65,8,13,0,1,Alan Jouban,2,78,141,0.55,78,141,0,0,,0,0,18.0,53,109,10,13,15,19,60,110,16,28,2,3
UFC 136: Edgar vs Maynard 3,Melvin Guillard,0,3,6,0.5,3,6,0,0,,0,0,0.0,2,5,1,1,0,0,3,6,0,0,0,0,Joe Lauzon,0,2,6,0.33,2,6,0,0,,1,0,19.0,2,6,0,0,0,0,2,6,0,0,0,0
